    "Transfer Type"    "Fidelity"            "Rabi Freq"    "Sweep Rate"         "FreqInit"         "FreqFinal"        "TotalTime"      
    "0"                "0.99882040542544"    "30700"        "979469667.06954"    "3980750647.5"     "3983350647.5"     "1.3272488609979"
    "0"                "0.99884771116373"    "31400"        "1020960662.306"     "3998021567.7"     "4000621567.7"     "1.2733105671904"
    "0"                "0.99881959919827"    "30700"        "979469667.06954"    "4014850785.6"     "4017450785.6"     "1.3272488609979"
    "2"                "0"                   "0"            "0"                  "8044335950"       "8044335950"       "0"              
    "2"                "0"                   "0"            "0"                  "8031164238"       "8031164238"       "0"              
    "0"                "0.998835153741"      "31100"        "1000000000"         "4101345765.16"    "4103945765.16"    "1.3"            
    "2"                "0"                   "0"            "0"                  "8044335950"       "8044335950"       "0"              
    "0"                "0.99839081139349"    "23100"        "575121707.18416"    "4105613074.98"    "4108213074.98"    "2.2603911202811"
    "2"                "0"                   "0"            "0"                  "8031164238"       "8031164238"       "0"              
    "0"                "0.99846491248735"    "24000"        "616296625.51329"    "4113587145.51"    "4116187145.51"    "2.1093738732015"
    "3"                "0"                   "0"            "0"                  "0"                "0"                "3.7e-05"        
    "1"                "0.99882054956258"    "30700"        "979469667.06954"    "3980750647.5"     "3983350647.5"     "1.3272488609979"
    "3"                "0"                   "0"            "0"                  "0"                "0"                "3.7e-05"        
    "1"                "0.99884800011184"    "31400"        "1020960662.306"     "3998021567.7"     "4000621567.7"     "1.2733105671904"
    "3"                "0"                   "0"            "0"                  "0"                "0"                "3.7e-05"        
    "1"                "0.99882829332993"    "30900"        "993109181.37498"    "4014850785.6"     "4017450785.6"     "1.3090202209188"
    "3"                "0"                   "0"            "0"                  "0"                "0"                "3.7e-05"        
    "1"                "0.99858763254548"    "26000"        "717556091.89369"    "4105613074.98"    "4108213074.98"    "1.8117050564914"
    "3"                "0"                   "0"            "0"                  "0"                "0"                "3.7e-05"        
    "1"                "0.99884519595553"    "31300"        "1013925407.5588"    "4101345765.16"    "4103945765.16"    "1.2821455999707"
    "3"                "0"                   "0"            "0"                  "0"                "0"                "3.7e-05"        
